Data_Tweet,Autor,Local,Tweet_Text,Retweeted,Favourited,Retweet Count,Favorite Count,In Reply to,Reply Message
2019-01-25 19:19:05,Saraiva,,"b'@EPivotti Ola, Emerson. Nos informe por DM o numero do pedido ou CPF e o nome completo do titular da compra.'",False,False,0,0,EPivotti,Voces acreditam que a @Saraiva veio entregar o meu produto e chegou aqui o meu produto nao estava no malao. 
2019-01-25 18:01:02,Saraiva,,"b'Tom Jobim nasceu em 25 de janeiro de 1927 e foi um dos criadores da Bossa Nova. Jobim tambem foi autor de uma das musicas brasileiras mais famosas de todos os tempos, a Garota de Ipanema. Voces sabem a letra de cor? https://t.co/mggVRov7TX'",False,False,2,32,,
2019-01-24 19:38:05,Saraiva,,"b'@hausofmarcelo Ola, Marcelo. Nos informe por DM o numero do pedido, CPF e o nome completo do titular do cadastro, para verificarmos.'",False,False,0,0,hausofmarcelo,@saraiva boa tarde. o meu pedido numero 460406000 nao consegue ser localizado pelo numero de rastreamento. poderiam ajudar?
2019-01-24 18:57:02,Saraiva,,b'Sentiram falta do Salem debochado em O Mundo Sombrio de Sabrina? Pois fiquem sabendo que a historia original e bem diferente do que estavamos acostumados. Vem pro Blog conhecer as origens desta historia que nasceu no mundo das HQs: https://t.co/cz0MhSF7LZ https://t.co/PkJayxRI6A',False,False,5,31,,
2019-01-24 18:04:40,Saraiva,,"b""Adonis Creed saiu mais forte do que nunca de sua luta contra 'Pretty' Ricky Conlan e segue sua trajetoria rumo ao campeonato mundial de boxe, com o apoio de Rocky. Creed II, estreia hoje nos cinemas. https://t.co/UKgFyq8Kg5""",False,False,1,18,,
2019-01-24 17:08:32,Saraiva,,b'@NNO_018 Ola :) Informamos que as datas de lancamentos do site nao se aplicam a loja. Orientamos que entre em contato direto com a loja para obter essa informacao. Para ter acesso a todos os telefones das nossas lojas acesse: https://t.co/FFz1wfJk7r',False,False,0,0,NNO_018,"@Saraiva Oi, voces estarao vendendo o Kingdom Hearts 3 dia 29/01 nas suas lojas fisicas? :)"
2019-01-24 17:03:30,Saraiva,,"b'@henriquetrek Ola, Henrique. Nos informe por DM o numero do pedido, CPF e o nome completo do titular do cadastro, para verificarmos.'",False,False,0,0,henriquetrek,Ha mais de 2 meses esperando o reembolso pela cobranca indevida da @Saraiva 
2019-01-24 16:59:37,Saraiva,,b'@fabvini Tente novamente por gentileza.',False,False,0,0,fabvini,"@Saraiva Ola @Saraiva. Obrigado por responder, mas eu nao consigo enviar DMs para voce. Como resolvo?"
2019-01-24 16:45:59,Saraiva,,"b'@PatiMarmentini Ola, Patricia. Nos informe por DM o numero do pedido, CPF e o nome completo do titular do cadastro, para verificarmos e solicitarmos a troca.'",False,False,0,0,PatiMarmentini,"Engracado, comprei uma HQ na @Saraiva e ela chegou sem estar lacrada, com marcas na capa e com as folhas meio gastas, ai voce vai ler no site e pra trocar tem que estar lacrada (?) https://t.co/QJBJXTE41a"
2019-01-24 13:38:34,Saraiva,,"b'@HEAVE3N Ola, Lara. Pedimos desculpas por isso, informamos que pode efetuar a troca em uma de nossas lojas fisica em ate 7 dias corridos, a partir da entrega, apresentando a nota fiscal com o produto ou atraves do site em ""Trocas e Devolucao"".'",False,False,0,0,HEAVE3N,"@Saraiva saraiva a capa do meu cd da rihanna veio rachada, fora isso amei a compra pelo site de voces "
2019-01-24 13:25:31,Saraiva,,"b'@ahdnerb Ola, @ahdnerb. Solicitamos por gentileza, que nos informe por DM o numero do pedido ou CPF e o nome completo do titular do cadastro, para verificarmos.'",False,False,0,0,ahdnerb,Oi @Saraiva voces me ligaram falando que iam me dar um cartao presente referente a uma reclamacao que fiz em 2017 e ainda nao recebi nada por e-mail 
2019-01-24 13:15:47,Saraiva,,"b'@FilipeHP Ola, Filipe. Solicitamos por gentileza, que nos informe por DM o numero do pedido ou CPF e o nome completo do titular do cadastro, para verificarmos.'",False,False,0,0,FilipeHP,"Total descaso pelo cliente da @Saraiva 

Fiz uma compra pelo site e pedi para entregar na loja, pois ja tive problema de entrega em duas vezes!

O Site nao tem rastreio e o telefone da loja nao estava funcionando!"
2019-01-24 13:15:06,Saraiva,,"b'@onlycamis Ola, Camis. Solicitamos por gentileza, que nos informe via Inbox o numero do seu pedido ou CPF e nome completo do titular da compra e verificamos para voce.'",False,False,0,0,onlycamis,"@Saraiva Ola, fiz uma compra e queria saber consigo mudar o endereco de entrega ? O pedido ja foi aprovado"
2019-01-24 13:13:28,Saraiva,,"b'@lucianohbraga Ola, Luciano. Solicitamos por gentileza, que nos informe via Inbox o numero do seu pedido ou CPF e nome completo do titular da compra e verificamos para voce.'",False,False,0,0,lucianohbraga,"@Saraiva bom dia, o 0800 de voces nao esta funcionando e eu gostaria de saber sobre um pedido meu que esta a mais de um mes com a transportadora... valeu!"
2019-01-24 12:40:53,Saraiva,,"b'@DuraesHellen Ola, Hellen. Solicitamos por gentileza, que nos informe por DM o numero do pedido ou CPF e o nome completo do titular do cadastro, para verificarmos.'",False,False,0,1,DuraesHellen,"Recebi junto com o jogo que comprei na @Saraiva um outro de outra pessoa. A loja nao respondeu o meu e-mail, e agora o que eu faco, sera que alguem ta por ai sem presente de aniversario "
