Data_Tweet,Autor,Local,Tweet_Text,Retweeted,Favourited,Retweet Count,Favorite Count,In Reply to
2018-03-14 21:56:44,Saraiva,,"b'@mrvlsdaredevil Ola, por favor, nos informe por DM o numero do pedido ou CPF e o nome completo do titular do cadastro, para verificarmos.'",False,False,0,0,mrvlsdaredevil
2018-03-14 21:56:09,Saraiva,,"b'@Gesa_karla Ola Gesa_karla, por favor, nos informe por DM o numero do pedido ou CPF e o nome completo do titular do... https://t.co/4nCLRrisp0'",False,False,0,0,Gesa_karla
2018-03-14 21:00:02,Saraiva,,b'Sabe aquele produto que voce nao encontra facil por ai? A Saraiva tem mais de 1 milhao de produtos cadastrados! Pre... https://t.co/fFGuKSm52w',False,False,0,11,
2018-03-14 20:59:27,Saraiva,,"b'@cortapulso Ola, por favor, nos informe por DM o numero do pedido ou CPF e o nome completo do titular do cadastro, para verificarmos.'",False,False,0,0,cortapulso
2018-03-14 20:54:35,Saraiva,,"b'@channcyrus Ola, nosso time de atendimento ja falou contigo, certo? Qualquer coisa, estamos por aqui.'",False,False,0,0,channcyrus
2018-03-14 20:48:59,Saraiva,,"b'@brndmrtns Ola, desculpe. DM liberada.'",False,False,0,1,brndmrtns
2018-03-14 20:47:05,Saraiva,,"b'@milabrugger Ola, por favor, nos informe por DM o numero do pedido ou CPF e o nome completo do titular do cadastro, para verificarmos.'",False,False,0,1,milabrugger
2018-03-14 20:45:19,Saraiva,,"b'@lilycalIoways Ola, por favor, nos informe por DM o numero do pedido ou CPF e o nome completo do titular do cadastro, para verificarmos.'",False,False,0,0,lilycalIoways
2018-03-14 20:44:39,Saraiva,,"b'@fernanda8amorim Ola Fernanda, por favor, nos informe por DM o numero do pedido ou CPF e o nome completo do titular... https://t.co/rnseNBWZ32'",False,False,0,0,fernanda8amorim
2018-03-14 20:24:11,Saraiva,,"b'@dizzymisslay Ola, por favor, nos informe por DM o numero do pedido ou CPF e o nome completo do titular do cadastro, para verificarmos.'",False,False,0,0,dizzymisslay
2018-03-14 19:25:05,Saraiva,,"b'@ursulaebani Ola ursulaebani, por favor, nos informe por DM o numero do pedido ou CPF e o nome completo do titular... https://t.co/mXBWez0GkX'",False,False,0,0,ursulaebani
2018-03-14 19:24:35,Saraiva,,b'@samuzwinglio Ola! O boleto esta disponivel para compras a partir de R$30.',False,False,0,0,samuzwinglio
2018-03-14 19:00:02,Saraiva,,"b'Prepare-se desde ja para o dia mais importante dos proximos anos. Para encontrar tudo o que voce precisa, passe na... https://t.co/yELJJs28cz'",False,False,0,4,
2018-03-14 18:56:30,Saraiva,,"b'@carolqtal Carol, caso esteja se referindo ao livro que esta no link a seguir, temos disponivel na loja desejada: https://t.co/TZB4YpPsfX'",False,False,0,0,carolqtal
2018-03-14 18:10:16,Saraiva,,"b'@oahnot Ola, por favor, nos informe por DM o numero do pedido ou CPF e o nome completo do titular do cadastro, para verificarmos.'",False,False,0,0,oahnot
2018-03-14 18:03:35,Saraiva,,"b'@ocamazonia @judaspriest Esgotou, mas ja teremos reposicao essa semana mesmo! \\o/'",False,False,0,0,ocamazonia
2018-03-14 17:48:22,Saraiva,,"b'Dos consoles para os cinemas e de volta aos games. Depois de assistir ""Tomb Raider"", que estreia amanha, voce nao v... https://t.co/JWt9nKJVFm'",False,False,1,12,
2018-03-14 17:45:10,Saraiva,,"b'@natmldantas Ola, por favor, nos informe por DM o numero do pedido ou CPF e o nome completo do titular do cadastro, para verificarmos.'",False,False,0,0,natmldantas
2018-03-14 17:07:53,Saraiva,,"b'@heidercrc   Ola heidercrc, nos contate por DM, por gentileza.'",False,False,0,0,heidercrc
2018-03-14 17:03:30,Saraiva,,"b'@princekiwran        Ola princekiwran, por favor, nos informe por DM o numero do pedido ou CPF e o nome completo do... https://t.co/TIvLnrhkNx'",False,False,0,0,princekiwran
2018-03-14 17:03:05,Saraiva,,"b'@indira_bavosa    Ola indira_bavosa, nos contate por DM com o numero do pedido e o nome completo.'",False,False,0,0,indira_bavosa
2018-03-14 17:02:15,Saraiva,,"b'@tomeinocubbins     Ola tomeinocubbins, por favor, nos informe por DM o numero do pedido ou CPF e o nome completo d... https://t.co/DCIp3Tirjz'",False,False,0,0,tomeinocubbins
2018-03-14 17:00:02,Saraiva,,"b'Quase 50 anos de estrada e 18 discos lancados, ta ai uma trajetoria de respeito.  ""Firepower"", o novo album do... https://t.co/yWsAEkMlK1'",False,False,0,10,
2018-03-14 16:54:11,Saraiva,,"b'@deusamisandrica    Ola deusamisandrica, por favor, nos informe por DM o numero do pedido ou CPF e o nome completo... https://t.co/dvms94QYLp'",False,False,0,1,deusamisandrica
2018-03-14 16:53:34,Saraiva,,"b'@amiadolan    Ola amiadolan, por favor, nos informe por DM o numero do pedido ou CPF e o nome completo do titular d... https://t.co/qjuZiEcRlJ'",False,False,0,0,amiadolan
2018-03-14 16:52:14,Saraiva,,b'@SanchesSuellen    ',False,False,0,1,SanchesSuellen
2018-03-14 16:50:06,Saraiva,,"b'@EmysBlue   Ola EmysBlue, por favor, nos informe por DM o numero do pedido ou CPF e o nome completo do titular do c... https://t.co/RboYEyKj47'",False,False,0,1,EmysBlue
2018-03-14 16:49:28,Saraiva,,"b'@IzadoraResende  Ola IzadoraResende, por favor, nos informe por DM o numero do pedido ou CPF e o nome completo do t... https://t.co/wEZEXJjRpg'",False,False,0,0,IzadoraResende
2018-03-14 16:47:04,Saraiva,,"b'@fionnrolezeiro   Ola fionnrolezeiro, informamos que temporariamente, a opcao de pagamento em boleto esta disponive... https://t.co/NunWHCyq9A'",False,False,0,0,fionnrolezeiro
